Business_Name,Business_Address,License_Type,City,State,Latitude,Longitude,,,
SPECTRA ART SPACE,1836 S BROADWAY ,Arts,Denver,CO,39.6832272,-104.9872836,,,
CHIPOTLE MEXICAN GRILL #161,2760 S COLORADO BLVDUNIT M ,Hotel / Restaurant,Denver,CO,39.6664313,-104.9398664,,,
BONNIE BRAE BEVERAGE INC. DBA BONNIE BRAE WINE & LIQUOR MART,785 S UNIVERSITY ,Retail,Denver,CO,39.7023557,-104.9597398,,,
MINDS MATTER OF DENVER INC,2750 BLAKE ST,Special Events,Denver,CO,39.7613097,-104.9846591,,,
DOG HAUS BIERGARTEN,8316 E NORTHFIELD BLVDSUITE 1610 ,Hotel / Restaurant,Denver,CO,39.7817085,-104.8915737,,,
FOUR FRIENDS KITCHEN,2893 N ROSLYN ST,Hotel / Restaurant,Denver,CO,39.7572638,-104.9007202,,,
BARRY'S ON BROADWAY LLC,58 N BROADWAY ,Tavern,Denver,CO,39.7176786,-104.9871901,,,
THE DENVER GAME LOUNGE,1490 N EUDORA ,Hotel / Restaurant,Denver,CO,39.7399559,-104.9300856,,,
BROOKDALE PARKPLACE,111 EMERSON ST,Hotel / Restaurant,Denver,CO,39.7190904,-104.9784061,,,
BADGERS PUB,76 S BROADWAY ,Tavern,Denver,CO,39.7151627,-104.9872266,,,
AJINOYA RAMEN,1390 S COLORADO BLVD 120 ,Hotel / Restaurant,Denver,CO,39.6914042,-104.9403692,,,
PLATTEFORUM,235 N BROADWAY ,Special Events,Denver,CO,39.7200823,-104.9879986,,,
7-ELEVEN STORE #29108A,4701 PEORIA ST,Retail,Denver,CO,39.7828254,-104.8477421,,,
J L CHEERS,3415 S MONACO PKWY,Tavern,Denver,CO,39.6542076,-104.9133572,,,
SUSHI TRAIN,3460 S LOCUST ST,Hotel / Restaurant,Denver,CO,39.6540488,-104.9150225,,,
SPICY THAI,4101 E EVANS AVEUNIT F ,Hotel / Restaurant,None,None,39.6790268,-104.9389766,,,
SMASHBURGER #1222,6305 E HAMPDEN AVE UNIT 101 ,Hotel / Restaurant,Denver,CO,39.6534825,-104.9169387,,,
KING SOOPER DIV #35,890 S MONACO PKWY,Retail,Denver,CO,39.7010176,-104.911327,,,
